Name,R,G,B,Luminance,Contrast,Thing/Object,Negative/Neutral
alligator,55.0,54.2,53.3,54.3,98.2,Negative,Thing
bear,89.3,83.4,78.2,84.3,105.3,Negative,Thing
bloodyaxe,106.4,103.8,102.9,104.3,121.8,Negative,Thing
bloodybaseballbat,123.8,122.5,122.3,122.7,125.3,Negative,Thing
butcher,177.0,173.4,172.0,174.1,104.8,Negative,Thing
cauldron,112.2,107.1,103.9,107.9,107.8,Negative,Thing
clownmask,55.2,53.6,50.9,53.7,88.4,Negative,Thing
creepygirl,107.0,106.2,107.1,106.4,117.0,Negative,Thing
dollhead,68.1,59.7,50.7,60.8,92.2,Negative,Thing
guillotine,167.9,158.1,156.1,160.0,109.3,Negative,Thing
monsterwallmount,71.1,68.3,73.0,69.3,95.1,Negative,Thing
mummy,234.0,232.0,227.3,232.1,58.6,Negative,Thing
scorpion,112.2,111.9,111.5,112.0,120.8,Negative,Thing
skull,141.0,128.2,127.7,130.9,109.6,Negative,Thing
spider,131.4,112.0,98.1,115.1,106.2,Negative,Thing
wolf,172.8,167.9,160.8,168.4,100.6,Negative,Thing
zombie,64.5,64.0,62.9,64.0,103.1,Negative,Thing
backpack,52.0,45.6,52.5,47.4,79.8,Neutral,Thing
broom,237.5,235.4,232.5,235.6,60.6,Neutral,Thing
cargo,133.0,122.2,110.2,123.7,97.4,Neutral,Thing
deer,121.8,118.3,116.5,118.9,119.6,Neutral,Thing
duck,227.4,224.8,221.5,225.1,62.6,Neutral,Thing
electrickettle,154.3,130.1,128.6,135.2,106.3,Neutral,Thing
girl,123.1,115.7,112.7,117.1,120.2,Neutral,Thing
globe,186.6,176.8,166.9,178.2,92.2,Neutral,Thing
grandfatherclock,63.5,58.2,55.0,59.1,99.4,Neutral,Thing
lamp,62.9,62.5,61.4,62.5,93.3,Neutral,Thing
mailbox,173.6,183.3,194.4,182.1,102.7,Neutral,Thing
oldman,230.8,230.9,231.8,230.9,58.9,Neutral,Thing
rabbit,75.1,73.3,71.7,73.6,104.4,Neutral,Thing
sittingman,119.2,117.2,119.0,117.7,117.1,Neutral,Thing
woman,76.5,72.8,73.1,73.6,110.5,Neutral,Thing
alarmclock,45.1,45.5,47.0,45.6,80.4,Neutral,Object
balloon,27.6,42.4,33.7,38.6,72.1,Neutral,Object
brush,69.8,64.1,57.7,64.9,90.0,Neutral,Object
coffeecup,54.2,54.2,54.8,54.2,94.0,Neutral,Object
fan,116.7,117.7,111.3,117.0,114.1,Neutral,Object
grater,29.3,29.5,29.5,29.5,64.5,Neutral,Object
hairdryer,85.4,86.0,87.3,86.0,113.5,Neutral,Object
handbag,71.1,68.3,69.0,69.0,95.1,Neutral,Object
hat,35.5,35.5,35.7,35.5,77.9,Neutral,Object
kettle,88.6,87.9,79.7,87.4,112.2,Neutral,Object
pitcher,78.0,74.2,69.4,74.7,100.2,Neutral,Object
pot,31.8,31.9,28.2,31.6,65.5,Neutral,Object
runningshoe,108.5,113.0,113.5,112.1,111.7,Neutral,Object
shampoo,31.5,31.6,31.6,31.6,69.2,Neutral,Object
shoppingbag,40.2,51.7,63.8,50.2,78.8,Neutral,Object
slipper,12.4,12.6,13.6,12.6,50.2,Neutral,Object
soap,27.9,34.1,35.2,32.9,73.1,Neutral,Object
spatula,191.1,191.8,191.4,191.6,107.5,Neutral,Object
spraybottle,49.9,51.3,49.6,50.9,92.5,Neutral,Object
squareclock,50.1,45.1,39.2,45.8,67.3,Neutral,Object
stapler,47.5,47.9,50.1,48.0,89.6,Neutral,Object
suitcase,78.9,79.5,80.4,79.4,108.5,Neutral,Object
tape,36.7,38.2,39.1,37.9,77.5,Neutral,Object
telephone,113.9,112.6,118.7,113.3,111.9,Neutral,Object
tennisball,28.6,28.1,10.3,27.0,65.4,Neutral,Object
toothbrush,19.8,18.6,18.9,18.9,64.1,Neutral,Object
toytruck,49.0,49.8,48.2,49.5,80.9,Neutral,Object
usbstick,30.2,31.9,37.3,32.0,75.4,Neutral,Object
waterbottle,24.4,9.5,9.6,12.7,44.0,Neutral,Object
weights,157.7,158.0,159.5,158.1,113.1,Neutral,Object
winebottle,7.2,6.8,5.6,6.8,31.8,Neutral,Object
